SampleName,Run,Putative-Subspecies,Lat,Long
278,SRR19760952,A.j.jubatus,-24.22254817,30.91483002
279,SRR19760941,A.j.jubatus,-24.22254817,30.91483002
281,SRR19760930,A.j.soemmeringii,2.859826372,41.98665775
287,SRR19760919,A.j.soemmeringii,2.859826372,41.98665775
288,SRR19760913,A.j.soemmeringii,2.859826372,41.98665775
289,SRR19760912,A.j.soemmeringii,12.76211122083073,30.340815649693184
290,SRR19760911,A.j.soemmeringii,2.859826372,41.98665775
293,SRR19760910,A.j.soemmeringii,12.76211122083073,30.340815649693184
294,SRR19760962,A.j.soemmeringii,2.859826372,41.98665775
295,SRR19760961,A.j.soemmeringii,2.859826372,41.98665775
296,SRR19760960,A.j.soemmeringii,2.859826372,41.98665775
302,SRR19760959,A.j.soemmeringii,2.859826372,41.98665775
305,SRR19760958,A.j.soemmeringii,2.859826372,41.98665775
306,SRR19760957,A.j.soemmeringii,2.859826372,41.98665775
307,SRR19760956,A.j.jubatus,-20.84344502,15.95947152
308,SRR19760955,A.j.soemmeringii,2.859826372,41.98665775
309,SRR19760954,A.j.soemmeringii,2.859826372,41.98665775
348,SRR19760953,A.j.venaticus,32.31960335,53.51074071
349,SRR19760951,A.j.venaticus,32.31960335,53.51074071
350,SRR19760950,A.j.venaticus,32.31960335,53.51074071
427,SRR19760948,A.j.jubatus,-22.72185451,22.82616712
428,SRR19760947,A.j.jubatus,-22.72185451,22.82616712
429,SRR19760946,A.j.jubatus,-22.72185451,22.82616712
430,SRR19760945,A.j.jubatus,-22.72185451,22.82616712
432,SRR19760944,A.j.jubatus,-20.84344502,15.95947152
433,SRR19760943,A.j.jubatus,-20.84344502,15.95947152
434,SRR19760942,A.j.jubatus,-20.84344502,15.95947152
435,SRR19760940,A.j.jubatus,-24.22254817,30.91483002
436,SRR19760939,A.j.jubatus,-24.22254817,30.91483002
437,SRR19760938,A.j.jubatus,-24.22254817,30.91483002
438,SRR19760937,A.j.jubatus,-24.22254817,30.91483002
439,SRR19760936,A.j.jubatus,-24.22254817,30.91483002
440,SRR19760935,A.j.jubatus,-24.22254817,30.91483002
441,SRR19760934,A.j.jubatus,-24.22254817,30.91483002
442,SRR19760933,A.j.jubatus,-22.72185451,22.82616712
443,SRR19760932,A.j.jubatus,-24.22254817,30.91483002
444,SRR19760931,A.j.jubatus,-24.22254817,30.91483002
445,SRR19760929,A.j.jubatus,-24.22254817,30.91483002
446,SRR19760928,A.j.jubatus,-24.22254817,30.91483002
447,SRR19760927,A.j.jubatus,-24.22254817,30.91483002
448,SRR19760926,A.j.jubatus,-24.22254817,30.91483002
449,SRR19760925,A.j.jubatus,-24.22254817,30.91483002
450,SRR19760924,A.j.jubatus,-24.22254817,30.91483002
451,SRR19760923,A.j.jubatus,-24.22254817,30.91483002
452,SRR19760922,A.j.jubatus,-24.22254817,30.91483002
453,SRR19760921,A.j.jubatus,-24.22254817,30.91483002
454,SRR19760920,A.j.jubatus,-24.22254817,30.91483002
455,SRR19760918,A.j.jubatus,-24.22254817,30.91483002
456,SRR19760917,A.j.jubatus,-24.22254817,30.91483002
457,SRR19760916,A.j.jubatus,-24.22254817,30.91483002
458,SRR19760915,A.j.jubatus,-24.22254817,30.91483002
459,SRR19760914,A.j.jubatus,-24.22254817,30.91483002
426,SRR19760949,Puma concolor,,
