cut_found	Matched barcodes	Unmatched
Anghel	  4694974	4050507	    644467
Calderon  31673452	21853947	9819505
Chelini	  4824	      7     4817
Coster	  64891379	42197027	22694352
Dahlhoff  17410386	14203334	3207052
Foley	  17353719	12860030	4493689
French    46104316	42460471	3643845
Gaitan    10294363	9557315	      737048
Gomez	  57572481	51417541	6154940
Hartvig	  48070460	43609688	4460772
Keogh	  30139227	26764881	3374346
Laroche	  169905	118299	51606
Liyandja  5974	    28	5946
Marcelli  96824614	82147169	14677445
Mascarenhas	  18934716	14273006	4661710
Meek	  40117494	  30781773	9335721
Mercier	  12185840	  11023360	1162480
Paz	  74735303	  69737056	4998247
Sequeira  76800260	65730161	11070099
Szczys	  50921053	48377847	2543206
Tolentino 55236090	42725642	12510448
Werneck	  40966275	37388145	3578130
Weyand	  59191791	45301843	13889948
Zolnik	  129519634	116318805	13200829
			
	      40992438.75	34704078.42	6288360.333
