Name    total_reads    cut_found  bar_matched
Chu     25543           25543       22662
Alaasam 14290371        14290371    13487364
Medeiro 24834979        24834979    23358844
Woods   381824866       381824866   326075902
Alda    55253           55253       44406
Guzman  381824866       381824866   26513207
Ocean   251604          251604      230383
Maurici 107629398       107629398   92994472
Paguio  14096364        14096364    13145342
Rometsc 104837468       104837468   94605293
Mendez  442034852       442034852   411211948
Brose   209937          209937      195714
Ball    87235           87235       56928
Kwapich 3303906         3303906     3070854
Sanda   67829484        67829484    62005479
Torres  169309          169309      149460
